trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
267,False,"{'a': 0.01, 'e': 0.06919688446155986}",25,3,13.379747825504365,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.06850944862071257}",30,16,13.977840736743213,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06782882083401343}",20,0,23.34351835837962,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
270,False,"{'a': 0.01, 'e': 0.06715493430683382}",20,1,18.483154093032127,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06648772288120897}",20,2,27.228428469976816,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.0658271210303277}",30,13,13.296911367021906,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06517306385305345}",25,0,34.31107277728856,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
274,False,"{'a': 0.01, 'e': 0.06452548706847541}",25,9,-12.327346651551672,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
275,False,"{'a': 0.01, 'e': 0.06388432701049165}",20,0,21.697633068266693,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.01, 'e': 0.06324952062242331}",20,0,-14.934866734048539,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
277,False,"{'a': 0.01, 'e': 0.06262100545166134}",20,4,22.54760451200878,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.061998719644345036}",25,5,24.153086169093932,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.061382601940073715}",20,0,-1.8980358836604982,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
280,False,"{'a': 0.01, 'e': 0.06077259166665074}",20,0,25.566871823179344,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.01, 'e': 0.0601686287348612}",25,5,23.113747892211627,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.05957065363328256}",25,0,30.886915714569017,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
283,False,"{'a': 0.01, 'e': 0.05897860742312908}",25,12,24.820699064639914,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.05839243173313018}",20,2,24.31935103810093,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.05781206875444235}",20,0,-14.056203703873862,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
286,False,"{'a': 0.01, 'e': 0.05723746123559567}",20,6,28.113744673943472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.056668552477474224}",20,0,29.880127134261734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,False,"{'a': 0.01, 'e': 0.056105286328331234}",20,0,26.842887014550435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.01, 'e': 0.05554760717883839}",20,8,20.231119948968047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.054995459957170194}",30,5,-1.1480199294445597,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.01, 'e': 0.05444879012412261}",20,9,20.06744960764832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.05390754366826687}",30,12,20.781089634736563,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05337166710113777}",30,7,38.8739238143359,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.052841107452457244}",30,11,30.62658831659526,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.05231581226539247}",25,6,-9.406470462096788,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
296,False,"{'a': 0.01, 'e': 0.051795729591849304}",25,5,37.90258138038621,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.05128080798780031}",30,16,23.89086620902432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
